strain,antismash_gene,start,end,direction,gene_number,molecule_number,antismash_smcog
BGC0000317,ACRE_003200,71174,72797,-1,gene1,1,transport
BGC0000317,ACRE_003210,73753,75917,-1,gene2,1,NRPS_PKS
BGC0000317,ACRE_003220,77431,78677,1,gene3,1,biosynthetic-additional
BGC0000317,ACRE_003230,80408,81425,-1,gene4,1,biosynthetic-additional
BGC0000317,ACRE_003240,82468,93797,1,gene5,1,NRPS_PKS
BGC0000317,ACRE_003250,95013,96060,1,gene6,1,biosynthetic-additional
BGC0000317,ACRE_003260,96308,98055,-1,gene7,1,transport
BGC0000394,AGD80606.1,0,2493,1,gene1,2,other
BGC0000394,AGD80607.1,2533,3799,-1,gene2,2,biosynthetic-additional
BGC0000394,AGD80608.1,3811,5290,-1,gene3,2,other
BGC0000394,AGD80609.1,5585,6602,1,gene4,2,NRPS_PKS
BGC0000394,AGD80610.1,6589,6847,1,gene5,2,NRPS_PKS
BGC0000394,AGD80611.1,6843,9018,1,gene6,2,biosynthetic-additional
BGC0000394,AGD80612.1,9113,10118,1,gene7,2,other
BGC0000394,AGD80613.1,10185,10698,1,gene8,2,other
BGC0000394,AGD80614.1,10805,13259,-1,gene9,2,regulatory
BGC0000394,AGD80615.1,13239,15228,-1,gene10,2,NRPS_PKS
BGC0000394,AGD80616.1,15406,18046,-1,gene11,2,NRPS_PKS
BGC0000394,AGD80617.1,18126,19131,-1,gene12,2,NRPS_PKS
BGC0000394,AGD80618.1,19202,23657,-1,gene13,2,NRPS_PKS
BGC0000394,AGD80619.1,23689,23890,-1,gene14,2,NRPS_PKS
BGC0000394,AGD80620.1,23935,27043,-1,gene15,2,NRPS_PKS
BGC0000394,AGD80621.1,27039,27813,-1,gene16,2,NRPS_PKS
BGC0000394,AGD80622.1,28145,30125,1,gene17,2,NRPS_PKS
BGC0000394,AGD80623.1,30194,39491,1,gene18,2,NRPS_PKS
BGC0000394,AGD80633.1,39550,40276,1,gene19,2,other
BGC0000394,AGD80624.1,40369,41425,1,gene20,2,biosynthetic-additional
BGC0000394,AGD80625.1,41592,42657,1,gene21,2,biosynthetic-additional
BGC0000394,AGD80626.1,42816,43863,1,gene22,2,transport
BGC0000394,AGD80627.1,44008,45598,1,gene23,2,biosynthetic-additional
BGC0000394,AGD80628.1,45923,47546,1,gene24,2,NRPS_PKS
BGC0000394,AGD80629.1,47563,48733,1,gene25,2,NRPS_PKS
BGC0000394,AGD80630.1,48890,49826,-1,gene26,2,NRPS_PKS
BGC0000394,AGD80631.1,50331,51018,-1,gene27,2,NRPS_PKS
BGC0000394,AGD80632.1,51311,51977,-1,gene28,2,other
BGC0000396,AEO14742.1,320,1157,1,gene1,3,NRPS_PKS
BGC0000396,ndaA,1367,9317,1,gene2,3,other
BGC0000396,ndaB,9319,13162,1,gene3,3,other
BGC0000396,AEO14745.1,13253,14288,1,gene4,3,other
BGC0000401,paeG,0,915,1,gene1,4,biosynthetic-additional
BGC0000401,paeA,981,1767,1,gene2,4,NRPS_PKS
BGC0000401,paeC,1787,3056,1,gene3,4,biosynthetic-additional
BGC0000401,paeE,3052,4687,1,gene4,4,NRPS_PKS
BGC0000401,paeB,4708,5671,1,gene5,4,NRPS_PKS
BGC0000401,paeF,5772,12882,1,gene6,4,NRPS_PKS
BGC0000414,qcn1,5398,6877,1,gene1,5,other
BGC0000414,qcn2,6933,9675,1,gene2,5,biosynthetic-additional
BGC0000414,qcn3,9671,10619,1,gene3,5,other
BGC0000414,qcn4,10647,11526,-1,gene4,5,other
BGC0000414,qcn5,11611,12241,-1,gene5,5,biosynthetic-additional
BGC0000414,qcn6,12437,15032,1,gene6,5,transport
BGC0000414,qcn7,15147,16092,1,gene7,5,other
BGC0000414,qcn8,16088,16319,1,gene8,5,NRPS_PKS
BGC0000414,qcn9,16315,18499,1,gene9,5,biosynthetic-additional
BGC0000414,qcn10,18538,19573,1,gene10,5,biosynthetic-additional
BGC0000414,qcn11,19651,20389,-1,gene11,5,biosynthetic-additional
BGC0000414,qcn12,20419,23668,-1,gene12,5,NRPS_PKS
BGC0000414,qcn13,23718,25923,-1,gene13,5,NRPS_PKS
BGC0000414,qcn14,26192,26987,1,gene14,5,NRPS_PKS
BGC0000414,qcn15,26983,30355,1,gene15,5,NRPS_PKS
BGC0000414,qcn16,30436,30646,1,gene16,5,biosynthetic-additional
BGC0000414,qcn17,30795,35256,1,gene17,5,NRPS_PKS
BGC0000414,qcn18,35337,36372,1,gene18,5,other
BGC0000414,qcn19,36461,39179,1,gene19,5,NRPS_PKS
BGC0000414,qcn20,39260,40133,-1,gene20,5,regulatory
BGC0000414,qcn21,40397,40925,1,gene21,5,other
BGC0000414,qcn22,40986,41505,1,gene22,5,other
BGC0000414,qcn23,41494,42739,1,gene23,5,other
BGC0000414,qcn24,42786,44076,1,gene24,5,transport
BGC0000421,sfcJ,149,1679,-1,gene1,6,biosynthetic-additional
BGC0000421,sfcI,1668,2331,-1,gene2,6,regulatory
BGC0000421,sfcA,2869,5884,1,gene3,6,NRPS_PKS
